ar:azul >> |AR|azul|ok MACTH TT|
ar:bahia blanca >> |AR|bahia blanca|ok MACTH TT|
ar:banda del rio sali >> |AR|banda del rio sali|no MACTH TT|
ar:banfield >> |AR|banfield|ok MACTH TT|
ar:barranqueras >> |AR|barranqueras|no MACTH TT|
ar:beccar >> |AR|beccar|ok MACTH TT|
ar:belen de escobar >> |AR|belen de escobar|ok MACTH TT|
ar:bella vista >> |AR|bella vista|ok MACTH TT|
ar:berazategui >> |AR|berazategui|ok MACTH TT|
ar:berisso >> |AR|berisso|no MACTH TT|
ar:bernal >> |AR|bernal|ok MACTH TT|
ar:bosques >> |AR|bosques|no MACTH TT|
ar:boulogne sur mer >> |AR|boulogne sur mer|no MACTH TT|
ar:buenos aires >> |AR|buenos aires|ok MACTH TT|
ar:burzaco >> |AR|burzaco|no MACTH TT|
ar:campana >> |AR|campana|ok MACTH TT|
ar:caseros >> |AR|caseros|ok MACTH TT|
ar:castelar >> |AR|castelar|ok MACTH TT|
ar:catamarca >> |AR|catamarca|ok MACTH TT|
ar:chaco >> |AR|chaco|no MACTH TT|
ar:chimbas >> |AR|chimbas|ok MACTH TT|
ar:chivilcoy >> |AR|chivilcoy|ok MACTH TT|
ar:chubut >> |AR|chubut|no MACTH TT|
ar:cipolletti >> |AR|cipolletti|ok MACTH TT|
ar:ciudad de buenos aires >> |AR|ciudad de buenos aires|no MACTH TT|
ar:ciudad evita >> |AR|ciudad evita|ok MACTH TT|
ar:ciudad jardin el libertador >> |AR|ciudad jardin el libertador|no MACTH TT|
ar:ciudadela >> |AR|ciudadela|ok MACTH TT|
ar:clorinda >> |AR|clorinda|no MACTH TT|
ar:comodoro rivadavia >> |AR|comodoro rivadavia|ok MACTH TT|
ar:concepcion >> |AR|concepcion|ok MACTH TT|
ar:concepcion del uruguay >> |AR|concepcion del uruguay|no MACTH TT|
ar:concordia >> |AR|concordia|ok MACTH TT|
ar:cordoba >> |AR|cordoba|ok MACTH TT|
ar:corrientes >> |AR|corrientes|ok MACTH TT|
ar:don torcuato >> |AR|don torcuato|ok MACTH TT|
ar:el calafate >> |AR|el calafate|ok MACTH TT|
ar:el jaguel >> |AR|el jaguel|no MACTH TT|
ar:el palomar >> |AR|el palomar|ok MACTH TT|
ar:eldorado >> |AR|eldorado|ok MACTH TT|
ar:entre rios >> |AR|entre rios|no MACTH TT|
ar:esperanza >> |AR|esperanza|no MACTH TT|
ar:esquel >> |AR|esquel|ok MACTH TT|
ar:ezeiza >> |AR|ezeiza|ok MACTH TT|
ar:ezpeleta >> |AR|ezpeleta|no MACTH TT|
ar:florencio varela >> |AR|florencio varela|ok MACTH TT|
ar:florida no es ciudad sino barrio >> |AR|florida no es ciudad sino barrio|no MACTH TT|
ar:formosa >> |AR|formosa|ok MACTH TT|
ar:general pico >> |AR|general pico|ok MACTH TT|
ar:general roca >> |AR|general roca|ok MACTH TT|
ar:general rodriguez >> |AR|general rodriguez|ok MACTH TT|
ar:glew >> |AR|glew|ok MACTH TT|
ar:gobernador julio a costa >> |AR|gobernador julio a costa|no MACTH TT|
ar:godoy cruz >> |AR|godoy cruz|ok MACTH TT|
ar:gonzalez catan >> |AR|gonzalez catan|ok MACTH TT|
ar:goya >> |AR|goya|ok MACTH TT|
ar:grand bourg >> |AR|grand bourg|no MACTH TT|
ar:gregorio de laferrere >> |AR|gregorio de laferrere|no MACTH TT|
ar:gualeguaychu >> |AR|gualeguaychu|ok MACTH TT|
ar:guaymallen >> |AR|guaymallen|ok MACTH TT|
ar:isidro casanova >> |AR|isidro casanova|no MACTH TT|
ar:ituzaingo >> |AR|ituzaingo|ok MACTH TT|
ar:jose c paz >> |AR|jose c paz|no MACTH TT|
ar:jujuy >> |AR|jujuy|no MACTH TT|
ar:junin >> |AR|junin|ok MACTH TT|
ar:la banda >> |AR|la banda|ok MACTH TT|
ar:la pampa >> |AR|la pampa|no MACTH TT|
ar:la plata >> |AR|la plata|ok MACTH TT|
ar:la rioja >> |AR|la rioja|ok MACTH TT|
ar:la tablada >> |AR|la tablada|no MACTH TT|
ar:lanus >> |AR|lanus|ok MACTH TT|
ar:las heras >> |AR|las heras|ok MACTH TT|
ar:libertad >> |AR|libertad|no MACTH TT|
ar:lomas de zamora >> |AR|lomas de zamora|ok MACTH TT|
ar:lomas del mirador >> |AR|lomas del mirador|no MACTH TT|
ar:longchamps >> |AR|longchamps|no MACTH TT|
ar:los polvorines >> |AR|los polvorines|ok MACTH TT|
ar:lujan >> |AR|lujan|ok MACTH TT|
ar:lujan de cuyo >> |AR|lujan de cuyo|ok MACTH TT|
ar:maipu >> |AR|maipu|ok MACTH TT|
ar:mar del plata >> |AR|mar del plata|ok MACTH TT|
ar:mariano acosta >> |AR|mariano acosta|no MACTH TT|
ar:martinez >> |AR|martinez|ok MACTH TT|
ar:mendoza >> |AR|mendoza|ok MACTH TT|
ar:mercedes >> |AR|mercedes|ok MACTH TT|
ar:merlo >> |AR|merlo|ok MACTH TT|
ar:misiones >> |AR|misiones|no MACTH TT|
ar:monte chingolo >> |AR|monte chingolo|no MACTH TT|
ar:monte grande >> |AR|monte grande|ok MACTH TT|
ar:moreno >> |AR|moreno|ok MACTH TT|
ar:moron >> |AR|moron|ok MACTH TT|
ar:necochea >> |AR|necochea|ok MACTH TT|
ar:neuquen >> |AR|neuquen|ok MACTH TT|
ar:obera >> |AR|obera|ok MACTH TT|
ar:olavarria >> |AR|olavarria|ok MACTH TT|
ar:olivos no es ciudad sino barrio >> |AR|olivos no es ciudad sino barrio|no MACTH TT|
ar:palpala >> |AR|palpala|ok MACTH TT|
ar:parana >> |AR|parana|ok MACTH TT|
ar:pergamino >> |AR|pergamino|ok MACTH TT|
ar:pilar >> |AR|pilar|ok MACTH TT|
ar:posadas >> |AR|posadas|ok MACTH TT|
ar:presidencia roque saenz pena >> |AR|presidencia roque saenz pena|no MACTH TT|
ar:presidente peron >> |AR|presidente peron|no MACTH TT|
ar:puerto madryn >> |AR|puerto madryn|ok MACTH TT|
ar:punta alta >> |AR|punta alta|ok MACTH TT|
ar:quilmes >> |AR|quilmes|ok MACTH TT|
ar:rafael calzada >> |AR|rafael calzada|no MACTH TT|
ar:rafael castillo >> |AR|rafael castillo|no MACTH TT|
ar:rafaela >> |AR|rafaela|ok MACTH TT|
ar:ramos mejia >> |AR|ramos mejia|no MACTH TT|
ar:rawson >> |AR|rawson|ok MACTH TT|
ar:reconquista >> |AR|reconquista|ok MACTH TT|
ar:remedios de escalada >> |AR|remedios de escalada|no MACTH TT|
ar:resistencia >> |AR|resistencia|ok MACTH TT|
ar:rio cuarto >> |AR|rio cuarto|ok MACTH TT|
ar:rio gallegos >> |AR|rio gallegos|ok MACTH TT|
ar:rio grande >> |AR|rio grande|ok MACTH TT|
ar:rio negro >> |AR|rio negro|no MACTH TT|
ar:rivadavia >> |AR|rivadavia|no MACTH TT|
ar:rosario >> |AR|rosario|ok MACTH TT|
ar:salta >> |AR|salta|ok MACTH TT|
ar:san carlos de bariloche >> |AR|san carlos de bariloche|ok MACTH TT|
ar:san fernando >> |AR|san fernando|ok MACTH TT|
ar:san fernando del valle de catamarca >> |AR|san fernando del valle de catamarca|no MACTH TT|
ar:san francisco >> |AR|san francisco|ok MACTH TT|
ar:san francisco solano >> |AR|san francisco solano|no MACTH TT|
ar:san isidro >> |AR|san isidro|ok MACTH TT|
ar:san juan >> |AR|san juan|ok MACTH TT|
ar:san justo >> |AR|san justo|ok MACTH TT|
ar:san luis >> |AR|san luis|ok MACTH TT|
ar:san martin >> |AR|san martin|ok MACTH TT|
ar:san miguel >> |AR|san miguel|ok MACTH TT|
ar:san miguel de tucuman >> |AR|san miguel de tucuman|no MACTH TT|
ar:san nicolas de los arroyos >> |AR|san nicolas de los arroyos|ok MACTH TT|
ar:san pedro de jujuy >> |AR|san pedro de jujuy|ok MACTH TT|
ar:san rafael >> |AR|san rafael|ok MACTH TT|
ar:san ramon de la nueva oran >> |AR|san ramon de la nueva oran|no MACTH TT|
ar:san salvador de jujuy >> |AR|san salvador de jujuy|ok MACTH TT|
ar:santa cruz >> |AR|santa cruz|no MACTH TT|
ar:santa fe >> |AR|santa fe|ok MACTH TT|
ar:santa rosa >> |AR|santa rosa|ok MACTH TT|
ar:santiago del estero >> |AR|santiago del estero|ok MACTH TT|
ar:sarandi >> |AR|sarandi|no MACTH TT|
ar:tandil >> |AR|tandil|ok MACTH TT|
ar:tartagal >> |AR|tartagal|ok MACTH TT|
ar:temperley >> |AR|temperley|ok MACTH TT|
ar:trelew >> |AR|trelew|ok MACTH TT|
ar:tres arroyos >> |AR|tres arroyos|ok MACTH TT|
ar:trujui >> |AR|trujui|no MACTH TT|
ar:tucuman >> |AR|tucuman|ok MACTH TT|
ar:ushuaia >> |AR|ushuaia|ok MACTH TT|
ar:venado tuerto >> |AR|venado tuerto|ok MACTH TT|
ar:vicente lopez >> |AR|vicente lopez|ok MACTH TT|
ar:viedma >> |AR|viedma|ok MACTH TT|
ar:villa carlos paz >> |AR|villa carlos paz|ok MACTH TT|
ar:villa centenario >> |AR|villa centenario|no MACTH TT|
ar:villa dolores >> |AR|villa dolores|ok MACTH TT|
ar:villa dominico >> |AR|villa dominico|ok MACTH TT|
ar:villa gobernador galvez >> |AR|villa gobernador galvez|no MACTH TT|
ar:villa luzuriaga >> |AR|villa luzuriaga|ok MACTH TT|
ar:villa madero >> |AR|villa madero|no MACTH TT|
ar:villa maria >> |AR|villa maria|ok MACTH TT|
ar:villa mariano moreno el colmenar >> |AR|villa mariano moreno el colmenar|no MACTH TT|
ar:villa mercedes >> |AR|villa mercedes|ok MACTH TT|
ar:villa tesei >> |AR|villa tesei|no MACTH TT|
ar:virrey del pino >> |AR|virrey del pino|ok MACTH TT|
ar:wilde >> |AR|wilde|no MACTH TT|
ar:william morris >> |AR|william morris|no MACTH TT|
ar:yerba buena marcos paz >> |AR|yerba buena marcos paz|no MACTH TT|
ar:zarate >> |AR|zarate|ok MACTH TT|
